randomisationGroup,totalMessages,microDialogCount,poolCount,minPoolVariants,maxPoolVariants,needsTopup,microDialogs
r_MorningGreetingsAndInquiryLastNightSleep,35,1,1,35,35,no,Morning greetings + inquire about sleep
r_InquiryLastNightSleep,33,1,1,33,33,no,Inquire about last night's sleep
r_FeedbackOnPoorCompliance,31,3,3,9,13,yes,One missed session ; Poor Compliance ; Several missed sessions
r_InvitationToLookAtAirPollutionAndAllergenConcentration,30,3,3,10,10,no,Extreme levels of air pollutants ; Extreme levels of allergens ; Information about local air quality (pollutants and allergens)
r_PromptForInhalingMedication_Stage1_Push,24,3,3,8,8,yes,Prompt patient to take first dose of controller medication ; Prompt patient to take second dose of controller medication ; Prompt patient to take third dose of controller medication
r_FeedbackOnGoodCompliance,20,1,1,10,10,no,Good Compliance
r_MorningGreetings,17,1,1,17,17,no,Morning greetings
r_PromptForWatchingEducationalContent_Stage1,17,3,3,5,6,yes,Introductory sentences for podcasts ; Introductory sentences for text ; Introductory sentences for videos
r_FeedbackOnGoodMedicationAdherence,10,1,1,10,10,no,Good Compliance
r_FeedbackOnPoorMedicationAdherence,10,2,2,5,5,yes,One missed dose ; Several missed doses
r_GenericGoodbyeMessage,10,1,1,10,10,no,Generic
r_PatientCoachingGoodbyeMessage,10,1,1,10,10,no,Patient coaching goodbye messages
r_PromptForACQ_Stage1_Push,10,1,1,10,10,no,Prompt patient to answer questions of the ACQ
r_PromptForFAQs_Stage1,10,1,1,10,10,no,Inform the patient about the list of FAQs
r_PromptForHealthLiteracyQuiz_Stage1,10,1,1,10,10,no,Prompt patient to answer health literacy questions
r_PromptForHealthLiteracyQuiz_Stage2,10,1,1,10,10,no,Prompt patient to answer health literacy questions
r_ReminderClinicVisit_Push,10,1,1,10,10,no,Reminder quarterly clinic visits
r_PostponeInhalation,9,3,3,1,1,yes,Prompt patient to take first dose of controller medication ; Prompt patient to take second dose of controller medication ; Prompt patient to take third dose of controller medication
r_PostponeACQ,8,4,4,1,2,yes,Prompt patient to answer questions of the ACQ ; Prompt patient to take first dose of controller medication ; Prompt patient to take second dose of controller medication ; Prompt patient to take third dose of controller medication
r_CompassionateFeedback,6,1,1,6,6,yes,Compassionate feedback when patient is not doing so great
r_GoodByeAfterSuccessfullyCarryingOutSpirometryMeasurement,6,1,1,6,6,yes,Quit spirometry dialog after successful spirometry procedure
r_GoodByeAfterSuccessfullyInhalingMedication,6,1,1,6,6,yes,Quit medication reminders dialog after successful inhalation
r_PromptForSpirometry_Stage3,6,1,1,6,6,yes,Prompt patient to conduct daily spirometry
r_TimelessGreetings,6,1,1,6,6,yes,Timeless Greetings
r_InquiryWellBeing,5,1,1,5,5,yes,Inquire about patient's well-being
r_PostponeSpirometry,5,2,2,1,1,yes,Attic ; Prompt patient to conduct daily spirometry
r_PromptForFAQs_Stage2,5,1,1,5,5,yes,Inform the patient about the list of FAQs
r_PromptForSmartwatchBatteryLevelCheck,5,1,1,5,5,yes,Prompt patient to check the smartwatch battery level and potentially recharge it
r_EveningGreetings,3,1,1,3,3,yes,Evening Greetings
r_PositiveFeedback,3,1,1,3,3,yes,Positive feedback when patient is doing well
r_PromptForInhalingMedication_Stage0,3,3,3,1,1,yes,Prompt patient to take first dose of controller medication ; Prompt patient to take second dose of controller medication ; Prompt patient to take third dose of controller medication
r_PromptForInhalingMedication_Stage2,3,3,3,1,1,yes,Prompt patient to take first dose of controller medication ; Prompt patient to take second dose of controller medication ; Prompt patient to take third dose of controller medication
r_PromptForInhalingMedication_Stage3,3,3,3,1,1,yes,Prompt patient to take first dose of controller medication ; Prompt patient to take second dose of controller medication ; Prompt patient to take third dose of controller medication
r_StartInhalation,3,3,3,1,1,yes,Prompt patient to take first dose of controller medication ; Prompt patient to take second dose of controller medication ; Prompt patient to take third dose of controller medication
r_StartInteractionWithEducationalMaterial,3,3,3,1,1,yes,Interaction with educational content and rescheduling ; Sequence of educational materials for kids aged 10 to 14 ; Sequence of educational materials for kids aged 15 to 19
r_CompassionateFeedbackAndCoaching,2,1,1,2,2,yes,Coaching
r_InquireAboutChangeOfSchedule_Stage1,2,2,2,1,1,yes,Medication ; Spirometry
r_InquireNewTimeForACQ,2,2,2,1,1,yes,Attic ; Prompt patient to answer health literacy questions
r_InquireNewTimeForSpirometry,2,2,2,1,1,yes,Attic ; Prompt patient to conduct daily spirometry
r_PostponeHealthLiteracyQuiz,2,1,1,2,2,yes,Prompt patient to answer health literacy questions
r_PostponeInteractionWithEducationalMaterial,2,1,1,2,2,yes,Interaction with educational content and rescheduling
r_PromptForACQ_Stage2,2,2,2,1,1,yes,Attic ; Prompt patient to answer questions of the ACQ
r_PromptForNighttimeMonitoring_Stage1_Push,2,1,1,2,2,yes,Prompt patient to prepare for nighttime monitoring
r_PromptForSpirometry_Stage1_Push,2,1,1,2,2,yes,Prompt patient to conduct daily spirometry
r_QueryInterestInOutcomes,2,2,2,1,1,yes,Medical Feedback lung function ; Medical feedback sleep quality
r_TransitionFromInterruptingDialogIntoOldDialog,2,1,1,2,2,yes,Transition message when interrupting dialog has finished
r_TransitionFromOldDialogIntoInterruptingDialog,2,1,1,2,2,yes,Transition message when interrupting dialog kicks in
r_AskingWhetherAnotherSpirometryReminderCanBeTolerated,1,1,1,1,1,yes,Prompt patient to conduct daily spirometry
r_CarryOutLastMinuteSpirometry,1,1,1,1,1,yes,Clearing microdialogs of the day related to spirometry
r_CompassionateFeedbackAndQueryMedicalHelp,1,1,1,1,1,yes,Offer to have medical staff contact patient
r_ConfirmThatClinicVisitWillBeRescheduled,1,1,1,1,1,yes,Reminder quarterly clinic visits
r_DaytimeGreetings,1,1,1,1,1,yes,Daytime Greetings
r_DealingWithUnwillingnessToRetrySpirometry_Phase1,1,1,1,1,1,yes,Prompt patient to conduct daily spirometry
r_DealingWithUnwillingnessToRetrySpirometry_Phase2,1,1,1,1,1,yes,Prompt patient to conduct daily spirometry
r_FeedbackOnGoodOverallCompliance_Stage1,1,1,1,1,1,yes,EarlyPhase
r_FeedbackOnGoodOverallCompliance_Stage2,1,1,1,1,1,yes,EarlyPhase
r_FeedbackOnGoodOverallCompliance_Stage3,1,1,1,1,1,yes,EarlyPhase
r_FeedbackOnGoodOverallCompliance_Stage4,1,1,1,1,1,yes,EarlyPhase
r_FeedbackOnPoorOverallCompliance_Stage1,1,1,1,1,1,yes,FinalPhase
