randomisationGroup,pool,groupTotalMessages,groupMicroDialogs,poolVariants,microDialog,folderPath,order,nodeUid,type,comment,resultVariable,answerType,channel,containsRules,isCommand,triggerExprs,en-GB,ro-RO
r_TimelessGreetings,r_TimelessGreetings @ Timeless Greetings,6,1,6,Timeless Greetings,👋 Hello,1,md-006#001,message,---,,expects NO answer,👤 App/partner message to participant,0,no,,Hi $particpantName! 😊,Salut $participantName! 😊
r_TimelessGreetings,r_TimelessGreetings @ Timeless Greetings,6,1,6,Timeless Greetings,👋 Hello,2,md-006#002,message,---,,expects NO answer,👤 App/partner message to participant,0,no,,Ciao $participantName! 🤗,Ciao $participantName! 🤗
r_TimelessGreetings,r_TimelessGreetings @ Timeless Greetings,6,1,6,Timeless Greetings,👋 Hello,3,md-006#003,message,---,,expects NO answer,👤 App/partner message to participant,0,no,,Hello $participantName! 😊,Bună ziua $participantName! 😊
r_TimelessGreetings,r_TimelessGreetings @ Timeless Greetings,6,1,6,Timeless Greetings,👋 Hello,4,md-006#004,message,---,,expects NO answer,👤 App/partner message to participant,0,no,,Hey there! 😊,Bună! 😊
r_TimelessGreetings,r_TimelessGreetings @ Timeless Greetings,6,1,6,Timeless Greetings,👋 Hello,5,md-006#005,message,---,,expects NO answer,👤 App/partner message to participant,0,no,,Hello friend! 😊,"Bună, prietene 😊"
r_TimelessGreetings,r_TimelessGreetings @ Timeless Greetings,6,1,6,Timeless Greetings,👋 Hello,6,md-006#006,message,---,,expects NO answer,👤 App/partner message to participant,0,no,,Hi!🖐️,Bună! 🖐️
r_DaytimeGreetings,r_DaytimeGreetings @ Daytime Greetings,1,1,1,Daytime Greetings,👋 Hello,1,md-007#001,message,---,,expects NO answer,👤 App/partner message to participant,2,no,$systemHourOfDay calculated value is smaller or equal than 18 ; $systemHourOfDay calculated value is bigger or equal than 5,Good day $participantName! 😊,Bună ziua $participantName! 😊
r_EveningGreetings,r_EveningGreetings @ Evening Greetings,3,1,3,Evening Greetings,👋 Hello,1,md-008#001,message,---,,expects NO answer,👤 App/partner message to participant,2,no,$systemHourOfDay calculated value is bigger than 18 ; $systemHourOfDay calculated value is smaller or equal than 23.99,Good evening! 🕖,Bună seara! 🕖
r_EveningGreetings,r_EveningGreetings @ Evening Greetings,3,1,3,Evening Greetings,👋 Hello,2,md-008#002,message,---,,expects NO answer,👤 App/partner message to participant,2,no,$systemHourOfDay calculated value is bigger than 18 ; $systemHourOfDay calculated value is smaller or equal than 23.99,Good evening! 🙂,Bună seara 🙂
r_EveningGreetings,r_EveningGreetings @ Evening Greetings,3,1,3,Evening Greetings,👋 Hello,3,md-008#003,message,---,,expects NO answer,👤 App/partner message to participant,2,no,$systemHourOfDay calculated value is bigger than 18 ; $systemHourOfDay calculated value is smaller or equal than 23.99,Good evening $participantName! 😊,Bună seara $participantName! 😊
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,1,md-009#001,message,---,,expects NO answer,👤 App/partner message to participant,2,no,"inrange($systemHourOfDay,6,11) calculated value equals 1 ; $morningGreetingDisplayed calculated value equals 0",Good morning!,Bună dimineața!
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,2,md-009#002,message,---,,expects NO answer,👤 App/partner message to participant,2,no,"inrange($systemHourOfDay,6,11) calculated value equals 1 ; $morningGreetingDisplayed calculated value equals 0",Good morning! 🌞,Bună dimineața! 🌞
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,3,md-009#003,message,---,,expects NO answer,👤 App/partner message to participant,2,no,"inrange($systemHourOfDay,6,11) calculated value equals 1 ; $morningGreetingDisplayed calculated value equals 0",Good morning $participantName!,Bună dimineața $participantName!
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,4,md-009#004,message,---,,expects NO answer,👤 App/partner message to participant,2,no,"inrange($systemHourOfDay,6,11) calculated value equals 1 ; $morningGreetingDisplayed calculated value equals 0",Morning!,Neața!
r_MorningGreetings,r_MorningGreetings @ Morning greetings,17,1,17,Morning greetings,👋 Hello,5,md-009#005,message,---,,expects NO answer,👤 App/partner message to participant,2,no,"inrange($systemHourOfDay,6,11) calculated value equals 1 ; $morningGreetingDisplayed calculated value equals 0",Morning! 🌞,Neața! 🌞
